"athlete_id","athlete_season_id","athlete_cluster","age","sex","athlete_level","event_distance_m","time_min","time_s","race_type"
"c48e27c76edcb6802852b170f4167a1e","675f7dcc0ed498ba9c25033c37dae8fe","6816f9587c84db1d33d040d524aaa64b",22,"male","college",1609.344,4.33740421630597,260.244252978358,"indoor_track"
"58606ec70874c90544cf85d7c5a41851","140e1f05725105e3c9b0f737e1edc031","a2cf8957bda77d6f77942d7154e927e7",17,"male","high_school",800,1.86280624125277,111.768374475166,"outdoor_track"
"7719b5a2f3cc88a427dc59b5b4915a73","f7174d73193e0480f86866cc0df82976","7502bd0a4fcb9f19f3dcfc1669984c3f",22,"female","college",800,2.75956970292671,165.574182175603,"outdoor_track"
"29469890c60fb55bcde4dd07c7d7c6aa","71b987e19d2998ba0806c246530bb021","44b588a5360680f751e9175db7f9256a",21,"female","college",3000,10.8181597857609,649.089587145653,"indoor_track"
"6994cf208b5911deff0f3647815a0659","dea96233089ec117e1898b2e1bb0d8ca","03d83c7d00f50bca20694e69cf5d5d41",59,"female","masters",1500,6.66796132829164,400.077679697499,"indoor_track"
"a5e93e0f2fd502baef7508f74cfcf405","ec704372f88ec42a8c8f7002f6ab7e16","44b588a5360680f751e9175db7f9256a",19,"male","college",1609.344,4.50554338378832,270.332603027299,"indoor_track"
"460068a31fa69a5bc00c405c9b95a0ba","09f9d5204fa5213ab95c84da6122faae","03d83c7d00f50bca20694e69cf5d5d41",39,"female","masters",3000,14.2310822474553,853.864934847318,"indoor_track"
"171de0f2a51a96b4acbbd2984a1bce3b","9e901a099f31f3d67caac269bb9349c1","85fbf64a7999b5287948e566f86dd581",19,"female","college",5000,20.1390699375871,1208.34419625523,"indoor_track"
"cdc861c533639f990353ea20ada58eef","29e68af426226850ccdeb6a08a0f1abe","9e63f4c321e79b1fba3099380d3be8ca",18,"male","high_school",3200,9.86836101814173,592.101661088504,"outdoor_track"
"c1336462c83d12ff1c0c3ead545e6bc7","30103c1885e804298ddf21410a830798","77ee0eaa9cd7ec0981d28adc24641fe4",17,"male","high_school",800,2.06999445118786,124.199667071272,"outdoor_track"
"6e3d7fd600e874292baa749a2259fdcb","ca7388e34b32e5f5a407720258b6e491","03d83c7d00f50bca20694e69cf5d5d41",75,"male","masters",800,3.18242886151342,190.945731690805,"indoor_track"
"be9f0d0667849ef89c01a7ed0614fa5e","c491332332eb7508b6252f5505adc8c2","d030f2942f231eaf06d63beca1d9d84c",22,"male","college",1500,4.26068203599658,255.640922159795,"indoor_track"
"1068658d9d697f116456099fc8dee837","9e12153157448e66a1988bb9c75a497b","85fbf64a7999b5287948e566f86dd581",19,"female","college",5000,20.0135189374024,1200.81113624414,"outdoor_track"
"36447ec10609fd44b49baae05138e3a7","72274ef061e8f8c34f60c0ceaada85e0","d8a87659992336b251916bc855172569",20,"male","college",1609.344,4.75035324191116,285.021194514669,"indoor_track"
"9a18e9a99ff671d15f33eee29a180285","e9046361d73f832ca2defa0234c014f1","44b588a5360680f751e9175db7f9256a",19,"male","college",5000,16.4063440073937,984.380640443619,"outdoor_track"
"f6b7eab52472ceef3e71bee84c107b60","616d8f45b042efa63f220364b27c0e53","9b3af11122fe2ef4a132e802167532c4",19,"male","college",800,2.14933881930231,128.960329158138,"outdoor_track"
"1787c2be6d7c9e6cec6d5b0a559f6193","bcba437faa90fb365fa52e0c2b25af0a","7cba74dddf046e606d77de7e504dc06a",22,"male","college",5000,15.9226430656761,955.358583940566,"indoor_track"
"b0dfd10452921a76f4fcffaa7eb0cf93","e0ed9181f74075e10924f1034033a258","9b3af11122fe2ef4a132e802167532c4",22,"female","college",5000,18.4633962744875,1107.80377646925,"indoor_track"
"9259124041b06b2e72d8b818dadee668","2266ff56f5eb212b411ee8c1e15a8b5c","c4ac6dd6adfb3ff04db1eead059ab374",17,"male","high_school",800,1.94209349690067,116.52560981404,"outdoor_track"
"cb5a0ebf4fddd41810c2bdf146988e9c","b8d942d0d99973cf99cc8f314728d426","7cba74dddf046e606d77de7e504dc06a",20,"male","college",3000,9.40685620356724,564.411372214034,"indoor_track"
"5fbb81208c3c48182f5c13a202623e43","3f95428c712739a970a3a7aaa521918f","0a05c5a3b4531c0123b31dfc4776ded3",14,"female","high_school",3200,11.7148566312405,702.89139787443,"outdoor_track"
"7b5468c6ba817c47b176d78f8cbb7f97","4d54b6e5da7c3b2a68bf4352b93b6370","d8a87659992336b251916bc855172569",22,"male","college",1500,4.42308284201256,265.384970520753,"outdoor_track"
"8f566151dee1f6569279f5a5feac5b22","401c0a8a11bac29a1ab2f80437f23519","03d83c7d00f50bca20694e69cf5d5d41",63,"male","masters",800,2.95467090154005,177.280254092403,"indoor_track"
"270721531769fe80d113a8490cb4954c","bd1d653a67d20c30a523b9475e6ab770","558f307a8e658aa40728ac02986b37fe",22,"female","college",1609.344,6.0012750924242,360.076505545452,"indoor_track"
"252ee5dc79e50932569fac712d142913","b816ffe04d38ffc6f183e556b4fa7715","6816f9587c84db1d33d040d524aaa64b",19,"male","college",5000,15.966928110353,958.015686621182,"outdoor_track"
"575715d9b919b3f54ead0daa37bcd7bb","b55c05ef0f019b6b977e098d3394841b","3480bdd1d006aca808ade373c54b45ab",19,"female","college",800,2.5183836762635,151.10302057581,"indoor_track"
"402f8ab0f123e2719dab6f2935d00fb0","8dfbb66a6db5fcefa6ac922cdcdb4c9e","558f307a8e658aa40728ac02986b37fe",20,"female","college",3000,10.6652237609259,639.913425655551,"indoor_track"
"9197d7171eda1311245ad22753c20401","c7da6e01d3855ecaa3dd161eff16605e","63be16e717f4a9cd901700c2bc49578f",21,"female","college",3000,11.5236046185109,691.416277110651,"indoor_track"
"60f279d997a4b353cfb2f6d4a7ed3bc2","9c575dbaa8e7a38d56ff87c8e43ed526","58f99a239a2f9fd7a08fa954cb2dc63f",18,"male","high_school",1600,4.48458797646066,269.075278587639,"outdoor_track"
"fa8f25d84e8ea668d0f7f83d478d0f00","2626ed83a470fd679011a16f6310635b","e7ac95d8bff96f174c01355e506e3f65",21,"female","college",1500,4.89378739581537,293.627243748922,"outdoor_track"
"db49f42b7fbe40f56919361b7f310225","2d09ea812c39153ba078c7a19266da8f","7502bd0a4fcb9f19f3dcfc1669984c3f",21,"female","college",3000,12.3617228753601,741.703372521605,"indoor_track"
"0f5e5fc34a64f9fb058eb63c66734547","200422de7f49e4733501c3a0f59f499e","9b3af11122fe2ef4a132e802167532c4",19,"female","college",3000,12.7538444778351,765.230668670107,"outdoor_track"
"e577bc6dc527314cf0daf036f59bc6e6","a2a7f667ade9ab294cceba548fc503f4","44b588a5360680f751e9175db7f9256a",20,"male","college",1000,2.63950906460111,158.370543876067,"indoor_track"
"3f331c9c520b49a70da64ed77e4fd832","febc1451b93aee5df7220eda9b01bcd4","9b3af11122fe2ef4a132e802167532c4",19,"male","college",1000,2.71746314995177,163.047788997106,"indoor_track"
"83ce3c4a2bde2cdeed9f3b51baa50f29","5ef7f7813e242a5a66b36df9a317bce9","44b588a5360680f751e9175db7f9256a",19,"female","college",1609.344,5.26591842495992,315.955105497595,"indoor_track"
"1530d3ffb1ae53d0dbba83d4a25bd8dc","d9d40d350d58dc69842e6a8ffdfd605f","44b588a5360680f751e9175db7f9256a",21,"female","college",1609.344,5.64434778803463,338.660867282078,"indoor_track"
"d2850f10e3ddd078d33bff61dd5af6c6","74fccf4c03608a2c1a346959f87ae93b","d030f2942f231eaf06d63beca1d9d84c",21,"male","college",3000,9.61338426168729,576.803055701237,"indoor_track"
