"athlete","athlete_season_id","sex","school","school_class_year","athlete_level","year","event_name","event_distance_m","time_s"
"d839fe996c224ec5aa224e27f598aded","e4a6db35422c9d669e01317d4c6aac99","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2008,"mile",1609.344,258.9
"4b968e929b012c45160aec317dbf6e3f","c578ab9c10d92ed69f36b05edcb705f7","male","7ffcce5a304175e0668fe203a79dcfa6","college_fy","college",2005,"1500m",1500,271.1
"b25438af000ecc879739669a4de6250f","eda302f04aced71ac5a53eec57b387e9","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_sr","college",2012,"5000m",5000,1130.8
"38924e40b76d8aa5544bde84812ab51a","d3d02c4a6b42361c745e04359b62e16e","female","8d0284260acd153cff449e26edf348bb","college_sr","college",2017,"mile",1609.344,337.6
"33910535427f3d897be8f269cb1102c4","b49821a6e8b15d8ec3853d227539c040","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_fy","college",2007,"1500m",1500,313.5
"5dc400759e5d1df1466ad59dd0751961","3eac5f155994c3695b29f61abbc85d11","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2016,"1000m",1000,163.1
"3a02c8b2c8f0b29fd55c6b92f42ab97b","302a3236cd97549894cde4d0e8a543e9","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2005,"3000m",3000,604.4
"d3565c37a151fc8ad5c549a7ab8e053b","e9b333deebdc31e3be04df13c32f230e","female","f905aa0f25cd231406c90c954eb932e7","hs_12","high_school",2021,"800m",800,140.9
"8f3057ba8e0b2266a8fe8ccf7baa1498","3c916045fb467d88ba6fb5a07f380bac","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2016,"3000m",3000,563.5
"0957eb3942c5782063fc3b183c17997f","0db232e03435d11eaf7d3bc82f9efb12","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2017,"1500m",1500,321.4
"1d0d40d7e0c10c2c6d609f0cbf3fa07c","c3ac47689552b6586fcc220794ed1264","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_sr","college",2008,"800m",800,159.4
"d383810e347d31b8aa5a748d27040afb","82843bd54d30ec47cde7b43f535e4c2c","male","21d2e63a57168b26a40b38bebadffb72","hs_12","high_school",2017,"1600m",1600,282
"0d43e93e8a092ca93824b9c3abdf8330","853cc4c005eab5f57c48bb0a131ad974","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2014,"800m",800,118.2
"a21885b63426dfb4e4e8c4c992b7bda7","b697aaff139563124b3f43b08952ef7d","female","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2008,"mile",1609.344,324.1
"95827e412e2b90f0a98ce4ebf37a3698","bd57a71f73d03ec0378c69b27ffbe6ae","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2007,"3000m",3000,680
"fca7d0134b67aa4b0bc8b86c86a8e232","83a80e092021cdafc357810b74fe0638","female","1e3ed3ec2364db3a993cb9db3c017757","college_jr","college",2001,"1500m",1500,292.6
"73a13c1cf0b994a97808fd57f4c4749a","61a586d6ca016abc4c4c81970e44d47f","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2009,"1500m",1500,293.6
"50ab2eeab0dd222d9099f94d920aa7b6","0087aab5a73a6cb8de3f06fb86e74d31","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2017,"1000m",1000,160.3
"6eb935e73fce2325a6db380ababbceea","d1b2cd5e363c319b083b3d723a594456","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2009,"800m",800,124
"fc8d89ad3e972335ff37b954fc0cb6d6","6553d05f62d91610128c554c607334ea","male","a68dd88bcbec68039b8fc2cb0308c908","hs_12","high_school",2022,"800m",800,125.1
"b8abfa5fb6e74a55d0c910a0b330ad1d","1bd70d1f3b5a42fc936d583038593610","male","299c67b11ec5d29ef7c62b05d359abef","hs_12","high_school",2007,"3200m",3200,551.2
"75ce8506f1186ac53739db0e04fd8b59","36b04ab650a9beba7359cdcc776e0267","female","1e3ed3ec2364db3a993cb9db3c017757","college_fy","college",2014,"1000m",1000,201.5
"146e5bb1fc1e0abc4e0538a38461758e","fda21d8b81b28e206ff82991f4e884e1","female","87f419741c127dfccba23502bad24d66","hs_12","high_school",2009,"3200m",3200,692.7
"60ff711f0df96f234c2122974f10e6c2","4064eef002889446c02fb050344fad6c","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2012,"3000m",3000,730.8
"1166d942d0f978555d0f6028963d6c64","68d178fe735da13860ac075d15911236","male","bbf705815c2afdb9206a92ec17a5a91c","college_jr","college",2013,"800m",800,118.1
"b58edfd1af2397d138bbcd35e5b21104","b4eb22a55cbfdff5162b1852b8f97890","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_fy","college",2009,"800m",800,123.3
"5c1b05b82b8b36ef2e0d20b19b3ebed7","a18cc68f1256628fd7e1c9e4441ddaf2","male","430fc81bf1de4c0f60e383a701875726","college_fy","college",2016,"mile",1609.344,276.1
"4982f64c51ebcec6a061259b185301c4","39b8dbea32b850650f94bd7ab1f0dfc3","male","b77e7696f0832e2d663abb1ef8a86cc2","hs_11","high_school",2013,"800m",800,115.1
"8776d4ac41fd2b05b321018054c2d063","bde0d81cbe07e280e22e3de406461afc","male","12f41389f2f80db3ea75021ca7dff5ed","college_sr","college",2014,"5000m",5000,918.7
"b043f9db29a26f0532cc0e8900e18cd8","a0603d670680a255515c1e3be7ac9592","female","f753ad09a7c3b3230a748631f65f384a","hs_10","high_school",2008,"3200m",3200,693.6
